date,store,product,sales,units_sold,avg_price,is_weekend,is_holiday,month,day_of_week,quarter
2023-01-01,Store_1_Downtown,Electronics,1309.99,8,150,1,0,1,6,1
2023-01-01,Store_1_Downtown,Apparel,769.22,17,45,1,0,1,6,1
2023-01-01,Store_1_Downtown,Groceries,1993.25,166,12,1,0,1,6,1
2023-01-01,Store_1_Downtown,Home & Garden,719.04,11,60,1,0,1,6,1
2023-01-01,Store_1_Downtown,Sports,533.22,9,55,1,0,1,6,1
2023-01-01,Store_1_Downtown,Beauty,457.04,13,35,1,0,1,6,1
2023-01-01,Store_1_Downtown,Toys,451.59,18,25,1,0,1,6,1
2023-01-01,Store_2_Mall,Electronics,1119.81,7,150,1,0,1,6,1
2023-01-01,Store_2_Mall,Apparel,619.48,13,45,1,0,1,6,1
2023-01-01,Store_2_Mall,Groceries,1644.64,137,12,1,0,1,6,1
2023-01-01,Store_2_Mall,Home & Garden,495.9,8,60,1,0,1,6,1
2023-01-01,Store_2_Mall,Sports,433.81,7,55,1,0,1,6,1
2023-01-01,Store_2_Mall,Beauty,399.44,11,35,1,0,1,6,1
2023-01-01,Store_2_Mall,Toys,262.82,10,25,1,0,1,6,1
2023-01-01,Store_3_Suburb,Electronics,688.49,4,150,1,0,1,6,1
2023-01-01,Store_3_Suburb,Apparel,490.76,10,45,1,0,1,6,1
2023-01-01,Store_3_Suburb,Groceries,1121.6,93,12,1,0,1,6,1
2023-01-01,Store_3_Suburb,Home & Garden,429.07,7,60,1,0,1,6,1
2023-01-01,Store_3_Suburb,Sports,330.95,6,55,1,0,1,6,1
2023-01-01,Store_3_Suburb,Beauty,267.94,7,35,1,0,1,6,1
2023-01-01,Store_3_Suburb,Toys,298.11,11,25,1,0,1,6,1
2023-01-01,Store_4_Airport,Electronics,609.91,4,150,1,0,1,6,1
2023-01-01,Store_4_Airport,Apparel,392.63,8,45,1,0,1,6,1
2023-01-01,Store_4_Airport,Groceries,802.64,66,12,1,0,1,6,1
2023-01-01,Store_4_Airport,Home & Garden,295.02,4,60,1,0,1,6,1
2023-01-01,Store_4_Airport,Sports,276.03,5,55,1,0,1,6,1
2023-01-01,Store_4_Airport,Beauty,207.07,5,35,1,0,1,6,1
2023-01-01,Store_4_Airport,Toys,202.33,8,25,1,0,1,6,1
2023-01-02,Store_1_Downtown,Electronics,902.34,6,150,0,0,1,0,1
2023-01-02,Store_1_Downtown,Apparel,582.5,12,45,0,0,1,0,1
2023-01-02,Store_1_Downtown,Groceries,1353.35,112,12,0,0,1,0,1
2023-01-02,Store_1_Downtown,Home & Garden,568.91,9,60,0,0,1,0,1
2023-01-02,Store_1_Downtown,Sports,419.43,7,55,0,0,1,0,1
2023-01-02,Store_1_Downtown,Beauty,321.92,9,35,0,0,1,0,1
2023-01-02,Store_1_Downtown,Toys,324.68,12,25,0,0,1,0,1
2023-01-02,Store_2_Mall,Electronics,702.33,4,150,0,0,1,0,1
2023-01-02,Store_2_Mall,Apparel,510.44,11,45,0,0,1,0,1
2023-01-02,Store_2_Mall,Groceries,964.84,80,12,0,0,1,0,1
2023-01-02,Store_2_Mall,Home & Garden,346.87,5,60,0,0,1,0,1
2023-01-02,Store_2_Mall,Sports,356.89,6,55,0,0,1,0,1
2023-01-02,Store_2_Mall,Beauty,322.15,9,35,0,0,1,0,1
2023-01-02,Store_2_Mall,Toys,254.28,10,25,0,0,1,0,1
2023-01-02,Store_3_Suburb,Electronics,632.6,4,150,0,0,1,0,1
2023-01-02,Store_3_Suburb,Apparel,387.96,8,45,0,0,1,0,1
2023-01-02,Store_3_Suburb,Groceries,818.06,68,12,0,0,1,0,1
2023-01-02,Store_3_Suburb,Home & Garden,296.96,4,60,0,0,1,0,1
2023-01-02,Store_3_Suburb,Sports,267.1,4,55,0,0,1,0,1
2023-01-02,Store_3_Suburb,Beauty,265.37,7,35,0,0,1,0,1
2023-01-02,Store_3_Suburb,Toys,206.87,8,25,0,0,1,0,1
2023-01-02,Store_4_Airport,Electronics,395.37,2,150,0,0,1,0,1
2023-01-02,Store_4_Airport,Apparel,309.72,6,45,0,0,1,0,1
2023-01-02,Store_4_Airport,Groceries,692.27,57,12,0,0,1,0,1
2023-01-02,Store_4_Airport,Home & Garden,223.75,3,60,0,0,1,0,1
2023-01-02,Store_4_Airport,Sports,222.85,4,55,0,0,1,0,1
2023-01-02,Store_4_Airport,Beauty,198.56,5,35,0,0,1,0,1
2023-01-02,Store_4_Airport,Toys,163.97,6,25,0,0,1,0,1
2023-01-03,Store_1_Downtown,Electronics,879.44,5,150,0,0,1,1,1
2023-01-03,Store_1_Downtown,Apparel,581.45,12,45,0,0,1,1,1
2023-01-03,Store_1_Downtown,Groceries,1487.7,123,12,0,0,1,1,1
2023-01-03,Store_1_Downtown,Home & Garden,526.83,8,60,0,0,1,1,1
2023-01-03,Store_1_Downtown,Sports,399.87,7,55,0,0,1,1,1
2023-01-03,Store_1_Downtown,Beauty,353.32,10,35,0,0,1,1,1
